Issue Number,Issue Title,Issue Author(s),Issue Editor(s),Keywords
"#388","An International Incident: Napalm in the Morning","Reploid Productions","Sanctaria",""
"#389","An International Incident: Sanctions, Sanctions Everywhere!","Sanctaria","Sanctaria",""
"#390","An International Incident: An Unstable Situation","Sanctaria","Sanctaria",""
"#391","An International Incident: The Third Horseman of Brasilistan","Sanctaria","Sanctaria",""
"#392","An International Incident: A Pirate Problem","Sanctaria","Sanctaria",""
"#393","An International Incident: A Naval Conundrum","Sanctaria","Sanctaria",""
"#394","Ten Days In A Mad House","Golgothastan","Luna Amore",""
"#395","An International Incident: Growing Pains","Sanctaria","Sanctaria",""
"#396","An International Incident: Is It Brie You're Looking For?","Sanctaria","Sanctaria",""
"#397","An International Incident: Select Your Target!","Sanctaria","Sanctaria",""
"#398","An International Incident: Why Did You Do That?","Sanctaria","Sanctaria",""
"#399","An International Incident: Invasion Plan","Sanctaria","Sanctaria",""
"#400","An International Incident: Insurgents Resurgence","Sanctaria","Sanctaria",""
"#401","An International Incident: What's The WA Gonna Do, Anyway?","Sanctaria","Sanctaria",""
"#402","An International Incident: They Surrendered... Now What?","Sanctaria","Sanctaria",""
"#403","An International Incident: We Done Killing Yet?","Sanctaria","Sanctaria",""
"#404","404 Issue Not Found","Sedgistan","Sedgistan",""
"#405","An International Incident: Time For A Colonyoscopy!","Sanctaria","Sanctaria",""
"#406","An International Incident: It's The Final Countdown","Sanctaria","Maxtopia",""
"#407","An International Incident: Brasilistan Go Boom","Maxtopia","Sanctaria",""
"#408","Easter Egg: Pony Peril","Sedgelight Sparkle","Sedgistan",""
"#409","Water Palaver","Eremora","Lenyo & Candlewhisper Archive",""
"#410","12 Angry, Tired, and Increasingly Confused Men","Golgothastan","Lenyo",""
"#411","Outed Teacher Ousted","Roulantina","Lenyo",""
"#412","The Magic (Of Advertising!) School Bus","Teh Fluffles","Lenyo",""
"#413","A Shot in the Arm","Nation of Quebec","Lenyo",""
"#414","Subpar Suburbs","Luna Amore","Luna Amore",""
"#415","Brain Pain On The Sports Plain","Have fun with it","Lenyo",""
"#416","Prophet Margins","Luna Amore","Lenyo",""
"#417","Hush, Hush Sweet Charlotte","Junkula","Lenyo & Ransium",""
"#418","That Sinking Feeling","Annihilators of Chan Island","Lenyo",""
"#419","RED Rover, RED Rover, Send Your Money Right Over!","The United Federations of Planets","Lenyo",""
"#420","Caught Green Handed","Nation of Quebec","Lenyo",""
"#421","No Child Left Behind Enemy Lines","Al-aqar","Lenyo",""
"#422","Wounded Veterans Demand A Helping Hand","Exemplaire","Golgothastan",""
"#423","Returning Holy Warriors Cause Trouble","Interzone Inc","Golgothastan",""
"#424","You Just Sank My Battleship","DWAsnia","Lenyo",""
"#425","Teach Your Farmers Well","Ouiatenon","Raurosia",""
"#426","Women In Uniform Under Fire","Vihenia","Kandarin & Lenyo",""
"#427","They Took Our Gubment!","Trippoli","Sedgistan",""
"#428","Crop Circles Clutter @@CAPITAL@@","Human Olympus","Lenyo",""
"#429","No Representation Without Taxation?","Bears Armed","Golgothastan",""
"#430","Easter Egg: Please, Sir, We Want Some More Issues","Eta Carinae","Luna Amore",""
"#431","Gone A Stray","Junessa","Luna Amore",""
"#432","Children In The Lead?","Annihilators of Chan Island","Lenyo",""
"#433","The Worst Storm To Hit @@NAME@@ Since...Yesterday?","Eaischpnaeieacgkque Bhcieaghpodsttditf","Golgothastan",""
"#434","Fraternity Furor","Nation of Quebec","Lenyo",""
"#435","A Working Class Hero Is Something To Be","Golgothastan","Lenyo",""
"#436","Votes, Place Your Bets!","Sierra Lyricalia","Golgothastan",""
"#437","Blue Screen Of Economic Death","Eaischpnaeieacgkque Bhcieaghpodsttditf","Lenyo",""
"#438","Judicial Review On Trial","Auralia","Golgothastan",""
"#439","The Law Of Exodus","Nation of Quebec","Golgothastan",""
"#440","Jumping The Sharknado","Sedgistan","Sedgistan",""
"#441","You've Got A Friend In Bee","Outer Sparta","Nation of Quebec",""
"#442","You Can't Always Get What You Squat","Czechostan","Golgothastan",""
"#443","Five Year Plans And New Deals","Bureaucratic Paralysis","Lenyo",""
"#444","Virtually Assured Destruction","Austral Coast","Lenyo",""
"#445","Evasive Maneuvers","Panageadom","Nation of Quebec",""
"#446","In The Land Of Milk And Money?","Kaztropol","Gnejs",""
"#447","Honey, We Hung The Parliament","Gnejs","Nation of Quebec",""
"#448","It Takes A Village","Flanderosa","Nation of Quebec",""
"#449","A Big Fracking Problem","Czechostan","Nation of Quebec",""
"#450","Colonial Testimonial","Sussetonia","Gnejs",""
"#451","A Prosthelytizer To Burn","Sierra Lyricalia","Nation of Quebec",""
"#452","Foetal Furore","Christian Democrats","Sanctaria",""
"#453","Parliamentary Playground","Nation of Quebec","Lenyo",""
"#454","Don't Stead On Me!","Scow Creek","Gnejs",""
"#455","Police On Overkill Mode?","Annihilators of Chan Island","Lenyo",""
"#456","Heads Will Roll","Sleep","Gnejs",""
"#457","Colossus With Feet Of Clay","Halothorne","Nation of Quebec",""
"#458","Bigtopian Lives Matter","Valyrian Freeholds","Lenyo",""
"#459","Murder, He Shouted!","Human Olympus","Gnejs",""
"#460","Salt Of The Earth","Gnejs","Lenyo",""
"#461","If At First You Don't Succeed...","Psychoneurotica","Sedgistan",""
"#462","Don't Let The Sun Go Down On Me","Neowefandland","Sedgistan",""
"#463","Smart Cars Driving Regulators Up The Wall","Maxtopia","Maxtopia",""
"#464","The @@ANIMAL@@ Republic Shall Rise Again?","Omigodtheykilledkenny","Gnejs",""
"#465","Lottocracy Causing Lots Of Trouble","Annihilators of Chan Island","Lenyo",""
"#466","@@NAME@@ Is Never Ever Getting Back Together... Like Ever","Wallenburg","Nation of Quebec",""
"#467","Saving Your Own Foreskin","Americanada","Sanctaria",""
"#468","Selling @@NAME@@ Down The River?","Caracasus","Lenyo",""
"#469","Shoot To Earn","Gnejs","Lenyo",""
"#470","Tide Stops For No Man","Sedgistan","Sedgistan",""
"#471","Easter Egg: Red Sleigh Down","Nation of Quebec","Sanctaria",""
"#472","Rise Of The Machines","The Arlight Republic","Lenyo",""
"#473","A-B-C, Easy As Don't Use Me","Lenyo","Lenyo",""
"#474","Mesozoic Park","Asterdan","Sedgistan",""
"#475","Where Have All The Flowers Gone?","Palaiologos II","Lenyo",""
"#476","A Farewell To Raised Arms?","Nation of Quebec","Gnejs",""
"#477","Feeding Frenzy","Sleep","Nation of Quebec",""
"#478","The Show Must Go On","Candlewhisper Archive","Lenyo",""
"#479","@@LEADER@@, Put On The Yellow Light","Australian Republic","Nation of Quebec",""
"#480","One Nation's Trash Is Another Nation's Trash","Annihilators of Chan Island","Lenyo",""
"#481","Social Equality Reaching Embarrassing Levels","Czechostan","Gnejs",""
"#482","Whose Fault Is It Anyways?","Eaischpnaeieacgkque Bhcieaghpodsttditf","Lenyo",""
"#483","Do You Want Fries With That?","The rejected realms issue committee","Sanctaria",""
"#484","Patriot Or Patri-not?","Cefalonia","Nation of Quebec",""
"#485","Really Real eSports Tournament","Mexicaliforia","Nation of Quebec",""
"#486","An Impressing Dilemma","Araluen and Eyreland","Lenyo",""
"#487","Masks Of Shame","Ayzifa","Gnejs",""
"#488","Bright Orange Is The New Black","Orvius","Sleep",""
"#489","Standing At Attention","Candlewhisper Archive","Lenyo",""
"#490","The Long And Winding Halls Of @@CAPITAL@@","Luna Amore","Luna Amore",""
"#491","Friends, @@DEMONYMPLURAL@@, Countrymen, Lend Me Your Ears","Eysyssla","Lenyo",""
"#492","The Artwork In The Attic","Lavendertopia","Sleep",""
"#493","Suspicious Superhuman Athletes?","Outer Sparta","Sleep",""
"#494","Whipping Up A Controversy","Nuremgard","Lenyo",""
"#495","Beloved \"Planet\" Has Gone To The Dogs","Omigodtheykilledkenny","Sleep",""
"#496","Rock 'N' Roll Suicide","Candlewhisper Archive","Nation of Quebec",""
"#497","The Widening Gyre","Candlewhisper Archive","Gnejs",""
"#498","Computer Says No","Sedgistan","Sedgistan",""
"#499","The Genetics Of Aesthetics","Candlewhisper Archive","Lenyo",""
"#500","Please Don't Feed The (Copyright) Trolls","The-CID","Nation of Quebec",""
"#501","Munchkins In Makeup","Leninkrav","Nation of Quebec",""
"#502","Scientists Declare That @@ANIMALPLURAL@@ Are Persons","Ras Sambekki","Gnejs",""
"#503","@@LEADER@@, Tear Down This Door!","The Aran Empire","Lenyo",""
"#504","Short Shorts Too Short?","Luger","Sleep",""
"#505","Florists Blooming Mad","Drasnia","Nation of Quebec",""
"#506","It's Official: \"I Do\" Does Do It","Cazalius Lodra","Lenyo",""
"#507","Would A Rochebaron By Any Other Name Smell Just As Sweet?","The Prosperous Peoples","Lenyo",""
"#508","Ex-Cons Robbed Of Future","Leninkrav","Nation of Quebec",""
"#509","It Was Asbestos Times, It Was The Worst Of Times","Scythan","Sedgistan",""
"#510","Possession, Protection Or Poppycock?","Fatumnia","Gnejs",""
"#511","Dogman Deconstructed","Candlewhisper Archive","Nation of Quebec",""
"#512","Furnished For Failure","Valrifell","Candlewhisper Archive",""
"#513","Something Wickered This Way Comes","Whacoposgowro","Golgothastan",""
"#514","Contract Killer","Singapore no2","Candlewhisper Archive",""
"#515","Little Green Men","Wagner the Great","Lenyo",""
"#516","Sex Education Too Sexy, Say Parents","Gnejs","Nation of Quebec",""
"#517","Gallery In Need Of A Renaissance","Cachepanora","Sedgistan",""
"#518","Face Lift","Zongzi","Nation of Quebec",""
"#519","School's Out (Of Control)","Caracasus","Candlewhisper Archive",""
"#520","Preach With Me If You Want To Live","Raionitu","Nation of Quebec",""
"#521","The Wreck Of The Edward Fitzpatrick","Drawkland","Logophilia Lyricalia",""
"#522","Time To Get Serious","The Free Joy State","Candlewhisper Archive",""
"#523","A Family Affair","Gnejs","Lenyo",""
"#524","Something Is Rotten In The State Of @@NAME@@","Kainesia","Gnejs",""
"#525","Nowhere To Go!","Nova Sodor","Sedgistan",""
"#526","Any Idea Where The Law Is, Bessie?","Annihilators of Chan Island","Candlewhisper Archive",""
"#527","The Body Politic","Free Equatorial Nations","Lenyo & Ransium",""
"#528","Privacy Concerns Reaching New Heights","The Midwestern Atlantic Colonies","Luna Amore",""
"#529","Attack Of The Attack Ads","Czechostan","Nation of Quebec",""
"#530","Regenerative Permaculture Emergence","Esternarx","Candlewhisper Archive",""
"#531","Lese Majeste Maladies","Nuremgard","Lenyo",""
"#532","Desert Island Risks","Hell Bovines","Nation of Quebec",""
"#533","Hearsay Heresy","Losthaven","Candlewhisper Archive",""
"#534","Too Few Cooks In The Kitchen","Drasnia","Nation of Quebec",""
"#535","NationStates Destroys @@DEMONYMADJECTIVE@@ Economy","Ballotonia","Gnejs",""
"#536","Every Witch Way Spells Disaster","The Newly Reformed Keldacia","Luna Amore",""
"#537","Summary Injustice","Candlewhisper Archive","Lenyo",""
"#538","@@LEADER@@, Let Your People Go!","The Rejected Realms Issue Committee","Candlewhisper Archive",""
"#539","All My Bits Are Belong To You","Hell Bovines","Nation of Quebec",""
"#540","Shh! Spoilers!","Katalaysia","Nation of Quebec",""
"#541","Spare The Whip, Spoil The Law","Annihilators of Chan Island","Logophilia Lyricalia",""
"#542","What A Waste","Atomic Utopia","Candlewhisper Archive",""
"#543","Flash, Aaaaaargh!","The Called","Candlewhisper Archive",""
"#544","Object-Oriented Programming","Lubrumia","Candlewhisper Archive",""
"#545","Expats On The Electoral Roll?","Nuremgard","Nation of Quebec",""
"#546","Dumpster Divers Dividing Denizens","A Humanist Science","Nation of Quebec",""
"#547","Fantastic Beasts And How @@NAME@@ Harmed Them","Outer Sparta","Nation of Quebec",""
"#548","Appointment Of A Science Advisor","Golgothastan","Lenyo",""
"#549","Feasting Or Fasting?","The Free Joy State","Lenyo",""
"#550","10 Awful Crimes You Just Won't Believe!","Candlewhisper Archive","Nation of Quebec",""
"#551","The Big Fat @@DEMONYMADJECTIVE@@ Wedding","Cazalius Lodra","Nation of Quebec",""
"#552","Must Be A Full Moon","Australian Republic","Candlewhisper Archive",""
"#553","Cede Our Seeds?","A Humanist Science","Candlewhisper Archive",""
"#554","Welcome To -CENSORED-","Nation of Quebec","Candlewhisper Archive",""
"#555","It's An Honor Just To Be Nominated!","Omigodtheykilledkenny","Nation of Quebec",""
"#556","Here Be Dragons?","Golgothastan","Nation of Quebec",""
"#557","Take A Hike!","A Humanist Science","Nation of Quebec",""
"#558","Turning A Blind Eye?","The Aurora Archipelago","Gnejs",""
"#559","The Low Aspiration Nation","The New Bluestocking Homeland","Lenyo",""
"#560","Bicameral Backlash","Christian Democrats","Nation of Quebec",""
"#561","Plug In and Play","Katalaysia","Nation of Quebec",""
"#562","Return to Sender","Lenyo","Candlewhisper Archive",""
"#563","Resistance Is Fertile","Fotila","Candlewhisper Archive",""
"#564","Do Good Intentions Make Good Samaritans?","Saint Emygdius","Gnejs",""
"#565","'A' Is For Academic Doping","Golgothastan","Nation of Quebec",""
"#566","Drive My Car","Louisadam","Lenyo",""
"#567","Syntax Destruction","Drasnia","Candlewhisper Archive",""
"#568","Dismissal Denied!","Human Olympus","Sedgistan",""
"#569","Grand Prix De @@NAME@@?","Montagna","Candlewhisper Archive",""
"#570","Clerical Errors","Christian Democrats","Nation of Quebec",""
"#571","Family Feud","Appalatchia","Nation of Quebec",""
"#572","Reading, Your Rights","Gelimor","Candlewhisper Archive",""
"#573","The Road To Blackacre Ends Here?","Zwangzug","Nation of Quebec",""
"#574","One Small Step For Private Enterprise?","New Birgland","Nation of Quebec",""
"#575","Sick Days For Sick Waves","Australian Republic","Candlewhisper Archive",""
"#576","Light At The End Of The Tunnel","Kievan Rusk","Candlewhisper Archive",""
"#577","Second World Problems","Candlewhisper Archive","Lenyo",""
"#578","Support Your Local Arms Manufacturer","Golgothastan","Lenyo",""
"#579","Real Handwriting Has Curves","The Rejected Realms Issue Committee","Luna Amore",""
"#580","@@NAME@@ Taking Leave Of Its Census?","Zwangzug","Gnejs",""
"#581","Fair To Say...?","Unibot III","Candlewhisper Archive",""
"#582","Augmented Reality Check","Enthusiasm","Nation of Quebec",""
"#583","Don't Be A Busk-Kill","Oisinistan","Candlewhisper Archive",""
"#584","The Cake Is A Lie","Felucian Planetary republic","Candlewhisper Archive",""
"#585","Are You Not Entertained?","Socialist Nordia","Lenyo",""
"#586","School's In For Summer?","Aipotu Ruo","Nation of Quebec",""
"#587","I, Robot, Do Solemnly Swear","Luna Amore","Luna Amore",""
"#588","Last Call For Alcohol?","The Dalatian Republic","Lenyo",""
"#589","To Boldly Go?","Nation of Quebec","Candlewhisper Archive",""
"#590","When Trees Hug Back","Czechostan","Gnejs",""
"#591","Bait And Switch","Lenyo","Gnejs",""
"#592","Infamy! Infamy! They've All Got It In For Me!","Annihilators of Chan Island","Candlewhisper Archive",""
"#593","A Right to Bare Arms?","Escalan Corps-Star Island","Candlewhisper Archive",""
"#594","Tie Fighters","Drasnia","Nation of Quebec",""
"#595","Quis Custodiet Ipsos Custodes?","Saint Emygdius","Candlewhisper Archive",""
"#596","Primogeniture Problems","Nuremgard","Lenyo",""
"#597","You Can't Handle The Tooth","A Humanist Science","Nation of Quebec",""
"#598","A Violet Trojan Horse","Crazy Girl","Nation of Quebec",""
"#599","Dead In The Water","Aculea","Lenyo",""
"#600","Making A House A Home","The Grim Reaper","Nation of Quebec",""
"#601","Lawyers On Trial","Tzarsgrad","Candlewhisper Archive",""
"#602","Hobby Lobby","Drasnia","Candlewhisper Archive",""
"#603","Not My Idea","Faehig","Candlewhisper Archive",""
"#604","Food Behind Bars","Barunia","Nation of Quebec",""
"#605","The Noblest Of Intentions","The Grim Reaper","Gnejs",""
"#606","In The Black","Gharoukannia","Candlewhisper Archive",""
"#607","If Your Election Lasts Longer Than Four Weeks...","Nation of Quebec","Lenyo",""
"#608","Thrown Into Sharp Relief","Dman4835","Candlewhisper Archive",""
"#609","@@CURRENCYPLURAL@@, Drugs, And Rock'n'Roll","Minglewood","Candlewhisper Archive",""
"#610","Only @@LEADER@@ Could Go To Daguo","Drasnia","Lenyo",""
"#611","Blundering Battle Bureaucrats","Free Syllvin","Nation of Quebec",""
"#612","A Petty Issue","Sammuramat","Candlewhisper Archive",""
"#613","A Nude Day, A Nude Awakening...","Nation of Quebec","Candlewhisper Archive",""
"#614","How Much Is That Vote In The Window?","Burned Lands","Nation of Quebec & Logophilia Lyricalia",""
"#615","Tempted By The Fruit Of Another","A Humanist Science","Candlewhisper Archive",""
"#616","You Are Feeling Very Very Sleepy And Not At All Gay","Golgothastan","Nation of Quebec",""
"#617","Who's This Little Rascal?","The Aran Empire","Sedgistan",""
"#618","The Jaws Of A Dilemma","Team Rhysha","Sedgistan",""
"#619","X Marks The Cult?","Tykadoro","Nation of Quebec",""
"#620","No Such Thing As A Free Lunch","Chuporosa","Candlewhisper Archive",""
"#621","Blue Collar Blues","TeamNARWiC","Candlewhisper Archive",""
"#622","Easter Egg: A Holiday Masquerade","The Grim Reaper","Lenyo",""
"#623","Maison D'Etre?","Adregon","Gnejs",""
"#624","A Role To Play","Panthera Corpus Renatus","Candlewhisper Archive",""
"#625","Delivering The Goods","Annihilators of Chan Island","Candlewhisper Archive",""
"#626","Carbon Copied","Plutoniacht","Candlewhisper Archive",""
"#627","The Bee-Ginning Of A Catastrophe?","Outer Sparta","Nation of Quebec",""
"#628","Only @@LEADER@@ Can Prevent Forest Fires","Ransium & Tishanda","Nation of Quebec",""
"#629","Boom Or Bust?","The Rejected Realms Issue Committee","Nation of Quebec",""
"#630","This Green And Pleasant Land","Nova Bulgarija","Candlewhisper Archive",""
"#631","The Violet Mile","Nation of Quebec","Candlewhisper Archive",""
"#632","Dying For A Kiss","Palaiologos II","Candlewhisper Archive",""
"#633","Sound Judgement","Candlewhisper Archive","Nation of Quebec",""
"#634","Bullet Time","Rubyna","Candlewshisper Archive",""
"#635","Hey Kid, Have A Cigar","Kungyo","Sleep & Candlewhisper Archive",""
"#636","Going on the Cyber Offensive","Noahs Second Country","Candlewhisper Archive",""
"#637","Little Pizza History","Oppressia FTDOF","Lenyo",""
"#638","Won't Somebody Think of the Children?","Niklaustan","Nation of Quebec",""
"#639","No Country For Old Men","Troperia","Nation of Quebec",""
"#640","A Clear-Cut Conundrum","Mount Seymour","Gnejs",""
"#641","Dirty Little Minds","Candlewhisper Archive","Lenyo",""
"#642","This Way's Kinder","Uberreichland","Candlewhisper Archive",""
"#643","No Small Wonder","Henuld","Nation of Quebec",""
"#644","The Old Grey Matter","Candlewhisper Archive","Candlewhisper Archive",""
"#645","An Unwarranted Intrusion","North China and New India","Candlewhisper Archive",""
"#646","Lesson Learnt","Kynotsu","Candlewhisper Archive",""
"#647","Songbirds' Decline Ruffle Feathers","Ransium","Nation of Quebec",""
"#648","Confessions of a Dangerous Mind","Nation of Quebec","Candlewhisper Archive",""
"#649","Made In Maxtopia","Siarki","Lenyo",""
"#650","Political Hacks","Nation of Quebec","Nation of Quebec",""
"#651","Black Days For @@NAME@@","The United Providences of Perland","Candlewhisper Archive",""
"#652","Mayday! Mayday!","Outer Sparta","Nation of Quebec",""
"#653","A Cloak And Syringe Operation","Ransium","Candlewhisper Archive",""
"#654","Not So Cool Aid?","Gnejs","Nation of Quebec",""
"#655","No Bones About It","ProPublica","Candlewhisper Archive",""
"#656","Ransoms Noted","The United States of Merca","Candlewhisper Archive",""
"#657","Put A Fence Around The Commons Floor?","Nation of Quebec","Candlewhisper Archive",""
"#658","A Sickening Dilemma","Ransium","Nation of Quebec",""
"#659","Ramping Up The Difficulty","Singapore no2","Nation of Quebec",""
"#660","Are We Being Served?","Lancaster of Wessex","Candlewhisper Archive",""
"#661","Scouting For Boys, Girls... Anyone?","Golgothastan","Candlewhisper Archive",""
"#662","Playful Petitions Pester Politicians","Helaw","Nation of Quebec",""
"#663","A \"Friend\" In Need","Empire of Cats","Nation of Quebec",""
"#664","Your Land Or Mine","Australian Republic","Candlewhisper Archive",""
"#665","In Nomine Ecclesia","Holy Oranz","Candlewhisper Archive",""
"#666","A Microchip On Your Shoulder","Minoa","Candlewhisper Archive",""
"#667","One Man's Trash Is Another Man's Recyclable","Socialist Nordia","Lenyo",""
"#668","How To Examine Your Testees","Candlewhisper Archive","Candlewhisper Archive",""
"#669","Watts Up With Rooftop Solar","Ransium","Ransium",""
"#670","A Wolf In Refugees' Clothing","Tretrid","Ransium",""
"#671","Adenine, Thymine, Copyright, And Guanine","Helaw","Helaw",""
"#672","All Shook Up","Parat","Drasnia & Candlewhisper Archive",""
"#673","The Deportation Of Mr. B. Leeper","Sleep","Nation of Quebec",""
"#674","Let Them Eat Rainbow Cake!","Galway-Dublin","Candlewhisper Archive",""
"#675","Trick Or Treaty","Ransium","Gnejs",""
"#676","Down The Rabbit Hole","Wyethalania","Wyethalania",""
"#677","Dial L For Loan","Annihilators of Chan Island","Ransium",""
"#678","A Motion For Seconds","Zwangzug","Zwangzug",""
"#679","Space Is Big Enough For The Both Of Us","Drayxaso","Nation of Quebec",""
"#680","The Fault Is In Our Stars","Drasnia","Helaw",""
"#681","@@NAME@@'s New Year's Resolution: Lose Fewer Limbs","Milostein","Ransium",""
"#682","Exhaust Every Option","Solborg","Candlewhisper Archive",""
"#683","Different Keystrokes For Different Folks","Intrapolia","Ransium",""
"#684","Murder Most Deniable?","The Free Joy State","The Free Joy State",""
"#685","Externalities Palmed Off","Singapore no2","Candlewhisper Archive",""
"#686","Freemium Isn't Free","Azura Manga","Zwangzug",""
"#687","Marriage By Proxy Server","The 19th Century","Wyethalania",""
"#688","You Don't Have To Be Mad To Kill People... But It Helps","Liberamare","Nation of Quebec",""
"#689","A Sticky Situation","Dytarma","Helaw",""
"#690","Hey! @@LEADER@@! Leave Them Kids Alone!","Nation of Quebec","Candlewhisper Archive",""
"#691","The Prodigal States","Caracasus","Gnejs",""
"#692","Game Of Drones","Nation of Quebec","Ransium",""
"#693","Bottled Up Problems","Noahs Second Country","Ransium",""
"#694","Concussive Percussion","Drasnia","Helaw",""
"#695","How To Succeed In Business Without Really Paying Taxes","Pogaria","Pogaria",""
"#696","No, Minister","Candlewhisper Archive","Helaw",""
"#697","Conventional Wisdom","Libertypendence Park","Ransium",""
"#698","I Shot the Sheriff","Rohendia","Candlewhisper Archive",""
"#699","Pipe Down, Already!","British Wassoulea","The Free Joy State",""
"#700","The Widow Raven","Ransium & Zwangzug","Candlewhisper Archive",""
"#701","Monumental Melodrama","New Socialist South Africa","Candlewhisper Archive",""
"#702","Has Your Room Been Booked?","Ntoain","The Free Joy State",""
"#703","Divine Decoration","Merconitonitopia","Drasnia & Gnejs",""
"#704","It's Not Lying, It's Post-Truth","Gnejs","Gnejs",""
"#705","The Germ Of An Idea","Orgrua","The Free Joy State",""
"#706","A Walk In The Park","United States of the Universe","Wyethalania",""
"#707","The Eye Of The Tiger","Sleep","The Free Joy State",""
"#708","How @@LEADER@@ Learned To Start Worrying And Fear Bio-Weapons","Birginia","Ransium",""
"#709","Armed And Legging It","Helaw","Candlewhisper Archive",""
"#710","Feudal Feuds","Nuremgard","Wyethalania",""
"#711","Patently Obvious","Lilindir","Zwangzug",""
"#712","Flight Of The Rich And Famous","Bears Armed","Helaw",""
"#713","Life In The Bike Lane","Nation of Quebec","Nation of Quebec",""
"#714","Milky Ways","Tzarsgrad","Candlewhisper Archive",""
"#715","Copy Rights","Candlewhisper Archive","Candlewhisper Archive",""
"#716","Cheek To Cheek","Australian Republic","Ransium",""
"#717","Cheques And Balances","Golgothastan","Gnejs",""
"#718","Roses Are Due If Violet's For You","Drasnia","The Free Joy State",""
"#719","Buried Bones Unearth Debate","The Ketchwan Republic","Nation of Quebec",""
"#720","Cui Bono?","Candlewhisper Archive","Ransium",""
"#721","A Lack Of Comma Sense","A Humanist Science","Luna Amore",""
"#722","Thora And Eloise","The Free Joy State","Candlewhisper Archive",""
"#723","To Know Sacrifice","Rubyna","Helaw",""
"#724","Your Stuff is Forfeit","Sierra Lyricalia","Ransium",""
"#725","Sky's The Limit?","Le Libertia","Wyethalania",""
"#726","Jobless Fair","Rezler","Ransium",""
"#727","Market Crash","North Isseggggnignigsegigisegggg Islands","Candlewhisper Archive",""
"#728","A Bone To Pick","Sunset Sea Islands","Candlewhisper Archive",""
"#729","Teenage Kicks","Abhichandra","The Free Joy State",""
"#730","It's Legal Now!","Nation of Quebec","Candlewhisper Archive",""
"#731","Is There An Election In Marche Noire Or Are You Just Happy To See Us?","Frieden-und Freudenland","Wyethalania",""
"#732","A Peeping Problem","Drasnia","Ransium",""
"#733","The Path Less Traveled","Australian Republic","Wyethalania",""
"#734","A Word From Our Sponsors","New Dukaine","Candlewhisper Archive",""
"#735","Rap Sheet","Wallacelavia","Candlewhisper Archive",""
"#736","A Badly Named Issue","Annihilators of Chan Island","Candlewhisper Archive",""
"#737","Bird-Brained Diplomac","Ransium","Ransium",""
"#738","Cruel Or Unusual?","Leumas Rex","Nation of Quebec",""
"#739","In Loco Parentis","Candlewhisper Archive","The Free Joy State",""
"#740","The Enemy Within: A Day In The Life","Candlewhisper Archive","Candlewhisper Archive & Ransium",""
"#741","The Enemy Within: We Can Work It Out","Candlewhisper Archive","Candlewhisper Archive & Ransium",""
"#742","The Enemy Within: And Your Bird Can Sing","Candlewhisper Archive","Candlewhisper Archive & Ransium",""
"#743","The Enemy Within: Here, There And Everywhere","Candlewhisper Archive","Candlewhisper Archive & Ransium",""
"#744","The Enemy Within: I Want To Hold Your Hand","Candlewhisper Archive","Candlewhisper Archive & Ransium",""
"#745","The Enemy Within: This Bird Has Flown","Candlewhisper Archive","Candlewhisper Archive & Ransium",""
"#746","The Enemy Within: There's A Place","Candlewhisper Archive","Candlewhisper Archive & Ransium",""
"#747","The Plane Truth","Pogaria","Pogaria",""
"#748","The Enemy Within: In Spite Of All The Danger","Candlewhisper Archive","Candlewhisper Archive & Ransium",""
"#749","Not Mushroom For Error","Bears Armed","Ransium",""
"#750","Cheerleading Community Does The Splits","Sanhon","The Free Joy State",""
"#751","@@ANIMALPLURAL@@ Breed Contempt","Luna Amore","Ransium",""
"#752","The Immortal Cells of Mrs. Gratwick","The Atlae Isles","Candlewhisper Archive",""
"#753","I've Got My Ion You","Jovian Socialist Republic","Candlewhisper Archive",""
"#754","The Hit Parade","Ransium","Candlewhisper Archive",""
"#755","Candid Camera","Noahs Second Country","Helaw",""
"#756","The Issue With Issues","Maori Moon","Ransium",""
"#757","Extra Credit?","Kingdom of Jacobia","Zwangzug",""
"#758","Bye Bye to the Birdies?","Frieden-und Freudenland","Ransium",""
"#759","Marry, Marry, Quite Contrarily","Neocaledonia","Ransium",""
"#760","A Debatable Question","Maxemia","Gnejs",""
"#761","As Seen On TV","Cazalius lodra","Candlewhisper Archive",""
"#762","Double Down On Double Time?","Australian Republic","Caracasus",""
"#763","Any Body For Science?","The 19th Century","Helaw",""
"#764","Dude, Where's My Elected Representative?","Nation Of Quebec","Candlewhisper Archive",""
"#765","Don't Judge Me","Eaischpnaeieacgkque Bhcieaghpodsttditf","Zwangzug",""
"#766","Carbon Emissions Are Why We Can't Have Nice Things","Continental Commonwealths","Gnejs",""
"#767","Xe Said, Zhe Said","The Marsupial Illuminati","Ransium",""
"#768","Trouble Brewing","Candlewhisper Archive","Ransium",""
"#769","How To Print Money?","Singapore no2","Candlewhisper Archive",""
"#770","Vaping Up A Storm","Kortza","Candlewhisper Archive",""
"#771","Drug Up The Prices","Outer Sparta","Helaw",""
"#772","Do You Have Artistic License?","Goolsbee","Caracasus",""
"#773","Know Thy Selfie","The Grim Reaper","The Grim Reaper",""
"#774","Clean Switch","Candlewhisper Archive","Gnejs",""
"#775","Affirmative Election","Singapore no2","Pogaria",""
"#776","Fake News, Everyone!","Nation of Quebec","Helaw",""
"#777","Betting On The Future","Drasnia","Ransium",""
"#778","Mal Appetit!","Frieden-und Freudenland","The Free Joy State",""
